xCoord,yCoord,1,2,3,4,5,6,7,8
0,0,-24,-71,-77,-75,-82,-71,-79,-82
0,0,-24,-71,-77,-75,-82,-71,-74,-82
0,0,-24,-71,-76,-75,-82,-71,-74,-82
0,0,-24,-73,-76,-75,-82,-71,-74,-82
0,0,-24,-73,-76,-76,-82,-72,-74,-82
0,0,-24,-73,-76,-76,-82,-71,-74,-82
0,0,-27,-73,-76,-76,-82,-72,-74,-82
0,0,-27,-73,-76,-76,-82,-72,-74,-82
0,0,-24,-73,-76,-76,-82,-72,-74,-82
0,0,-24,-73,-76,-76,-82,-72,-74,-82
0,0,-24,-73,-76,-76,-82,-72,-74,-82
0,0,-24,-73,-76,-76,-82,-72,-74,-82
0,0,-27,-73,-76,-76,-82,-72,-74,-82
0,0,-27,-73,-76,-76,-82,-72,-76,-82
0,0,-27,-73,-78,-76,-82,-72,-76,-82
0,0,-27,-73,-78,-76,-82,-72,-76,-82
0,0,-27,-73,-78,-76,-82,-72,-76,-82
0,0,-27,-73,-78,-76,-82,-72,-76,-82
0,0,-27,-73,-78,-76,-82,-67,-76,-82
0,0,-27,-73,-78,-76,-82,-67,-76,-82
0,0,-27,-73,-78,-76,-82,-67,-72,-82
0,0,-27,-73,-78,-76,-82,-67,-72,-82
0,0,-27,-73,-78,-76,-82,-67,-72,-82
0,0,-27,-74,-78,-76,-82,-67,-72,-82
0,0,-27,-74,-78,-76,-82,-67,-72,-82
0,0,-27,-74,-78,-76,-82,-67,-72,-83
0,0,-25,-74,-78,-76,-82,-67,-72,-83
0,0,-25,-73,-78,-76,-82,-67,-72,-83
0,0,-25,-73,-78,-77,-82,-67,-72,-83
0,0,-25,-73,-78,-77,-82,-72,-72,-83
0,0,-25,-73,-78,-77,-82,-72,-72,-83
0,0,-25,-73,-78,-77,-82,-72,-72,-77
0,0,-27,-73,-78,-77,-82,-72,-72,-77
0,0,-27,-73,-78,-77,-82,-72,-72,-77
0,0,-27,-73,-78,-77,-82,-72,-72,-77
0,0,-27,-73,-78,-77,-82,-67,-72,-77
0,0,-27,-73,-78,-77,-81,-67,-72,-77
0,0,-27,-73,-78,-77,-81,-67,-72,-77
0,0,-27,-73,-78,-77,-81,-72,-72,-77
0,0,-27,-73,-78,-77,-81,-72,-72,-77
0,0,-27,-73,-82,-77,-82,-72,-77,-77
0,0,-27,-73,-78,-77,-82,-72,-72,-77
0,0,-27,-73,-78,-77,-82,-72,-72,-77
0,0,-27,-72,-82,-77,-82,-72,-77,-77
0,0,-27,-72,-82,-77,-82,-67,-77,-77
0,0,-27,-72,-82,-77,-80,-67,-77,-77
0,0,-24,-72,-82,-77,-80,-67,-77,-77
0,0,-24,-72,-82,-77,-80,-67,-77,-80
0,0,-24,-72,-74,-77,-80,-67,-77,-80
0,0,-24,-72,-82,-77,-80,-67,-77,-80
0,0,-24,-72,-74,-77,-80,-67,-77,-80
0,0,-24,-72,-74,-77,-80,-67,-73,-80
0,0,-24,-72,-74,-77,-80,-67,-73,-80
0,0,-24,-72,-74,-77,-80,-67,-73,-80
0,0,-24,-72,-74,-77,-80,-67,-73,-80
0,0,-24,-72,-74,-77,-81,-72,-73,-80
0,0,-27,-72,-74,-77,-81,-72,-73,-80
0,0,-24,-72,-74,-77,-80,-72,-73,-80
0,0,-27,-72,-74,-77,-81,-72,-73,-76
0,0,-24,-72,-74,-77,-81,-72,-73,-76
0,0,-24,-72,-74,-77,-81,-72,-73,-80
0,0,-24,-72,-74,-77,-81,-72,-73,-80
0,0,-24,-72,-74,-77,-81,-72,-73,-80
0,0,-27,-72,-74,-77,-81,-72,-73,-80
0,0,-27,-72,-74,-77,-80,-72,-73,-80
0,0,-27,-72,-74,-77,-80,-72,-73,-80
0,0,-25,-72,-74,-77,-80,-72,-73,-80
0,0,-25,-72,-74,-77,-80,-72,-73,-80
0,0,-25,-72,-74,-77,-80,-72,-73,-80
0,0,-25,-72,-74,-77,-80,-72,-73,-80
0,0,-25,-72,-74,-77,-80,-72,-73,-80
0,0,-25,-72,-74,-77,-80,-72,-73,-80
0,0,-25,-72,-74,-77,-80,-72,-73,-81
0,0,-25,-72,-74,-77,-80,-72,-77,-81
0,0,-25,-72,-74,-77,-80,-72,-77,-81
0,0,-25,-72,-74,-77,-80,-72,-77,-81
0,0,-25,-72,-82,-77,-80,-72,-77,-81
0,0,-24,-72,-82,-77,-80,-72,-77,-81
0,0,-24,-72,-82,-77,-80,-72,-77,-79
0,0,-24,-72,-82,-77,-80,-72,-77,-79
0,0,-24,-72,-82,-76,-80,-72,-77,-79
0,0,-24,-72,-82,-76,-80,-73,-77,-79
0,0,-27,-72,-82,-76,-80,-73,-77,-79
0,0,-27,-72,-82,-76,-80,-73,-77,-81
0,0,-27,-72,-82,-76,-80,-73,-77,-81
0,0,-27,-72,-82,-76,-80,-73,-77,-81
0,0,-27,-72,-82,-76,-80,-73,-77,-81
0,0,-27,-72,-82,-76,-80,-73,-77,-81
0,0,-27,-72,-81,-76,-80,-73,-77,-81
0,0,-27,-72,-81,-76,-80,-73,-77,-81
0,0,-27,-72,-81,-76,-80,-73,-77,-81
0,0,-27,-72,-81,-76,-80,-73,-77,-81
0,0,-27,-72,-81,-76,-80,-73,-77,-81
0,0,-24,-72,-81,-76,-80,-73,-77,-81
0,0,-27,-72,-81,-76,-80,-73,-77,-81
0,0,-24,-72,-81,-76,-80,-73,-77,-78
0,0,-24,-72,-81,-76,-80,-73,-77,-78
0,0,-24,-72,-81,-76,-80,-73,-77,-78
0,0,-24,-72,-81,-77,-80,-73,-77,-78
0,0,-27,-72,-81,-77,-80,-73,-77,-78
0,0,-27,-72,-81,-77,-80,-73,-77,-78
0,0,-27,-72,-81,-77,-80,-73,-77,-78
0,0,-27,-72,-81,-77,-80,-73,-73,-78
0,0,-27,-72,-81,-77,-80,-73,-73,-78
0,0,-27,-72,-81,-77,-81,-73,-73,-78
0,0,-27,-72,-81,-77,-81,-73,-73,-78
0,0,-27,-72,-81,-77,-81,-73,-73,-78
0,0,-27,-72,-81,-77,-81,-72,-73,-78
0,0,-27,-72,-81,-77,-81,-72,-73,-78
0,0,-27,-72,-81,-77,-81,-72,-77,-78
0,0,-27,-72,-81,-77,-80,-72,-77,-78
0,0,-27,-72,-82,-77,-80,-72,-77,-78
0,0,-24,-72,-82,-77,-80,-72,-77,-78
0,0,-24,-72,-82,-77,-80,-76,-77,-78
0,0,-24,-72,-82,-77,-80,-76,-77,-78
0,0,-24,-72,-82,-77,-80,-76,-77,-78
0,0,-24,-72,-82,-77,-80,-76,-77,-78
0,0,-24,-72,-82,-77,-80,-76,-77,-78
0,0,-24,-72,-82,-77,-80,-76,-77,-80
0,0,-24,-72,-82,-77,-80,-76,-77,-80
0,0,-24,-73,-82,-77,-80,-76,-77,-80
0,0,-24,-73,-82,-77,-80,-76,-77,-80
